ISO3,Ranking,NAME,GDP
FRO,165,Faroe Islands,2613
GRL,166,Greenland,2441
LSO,167,Lesotho,2278
BTN,168,Bhutan,2058
LBR,169,Liberia,2053
BLZ,170,Belize,1753
DJI,171,Djibouti,1727
CPV,172,Cabo Verde,1603
CAF,173,Central African Republic,1584
TMP,174,Timor-Leste,1442
SYC,175,Seychelles,1438
LCA,176,St. Lucia,1431
ATG,177,Antigua and Barbuda,1259
SLB,178,Solomon Islands,1129
GNB,179,Guinea-Bissau,1057
GRD,180,Grenada,984
GMB,181,"Gambia, The",939
KNA,182,St. Kitts and Nevis,876
WSM,183,Samoa,761
VUT,184,Vanuatu,742
VCT,185,St. Vincent and the Grenadines,738
COM,186,Comoros,566
DMA,187,Dominica,517
TON,188,Tonga,435
STP,189,São Tomé and Principe,318
FSM,190,"Micronesia, Fed. Sts.",315
PLW,191,Palau,287
MHL,192,Marshall Islands,179
KIR,193,Kiribati,160
NRU,194,Nauru,100
TUV,195,Tuvalu,33
ASM,0,American Samoa,0
ABW,0,Aruba,0
VGB,0,British Virgin Islands,0
CYM,0,Cayman Islands,0
CHI,0,Channel Islands,0
CUW,0,Curaçao,0
ERI,0,Eritrea,0
PYF,0,French Polynesia,0
GIB,0,Gibraltar,0
GUM,0,Guam,0
PRK,0,"Korea, Dem. People's Rep.",0
LBY,0,Libya,0
MCO,0,Monaco,0
NCL,0,New Caledonia,0
MNP,0,Northern Mariana Islands,0
SMR,0,San Marino,0
SXM,0,Sint Maarten (Dutch part),0
MAF,0,St. Martin (French part),0
SYR,0,Syrian Arab Republic,0
TCA,0,Turks and Caicos Islands,0
VEN,0,"Venezuela, RB",0
VIR,0,Virgin Islands (U.S.),0
